,variable,value
0,absinthe,1.9377773015547035
1,absolut,2.4019643914051825
2,advocaat,0.6990395149507579
3,aejo,0.4636201719873094
4,agave,0.5320170650800335
5,alcohol,0.6533623747706031
6,ale,5.8419644266489215
7,allspice,0.5564205580946044
8,almond,0.48285613232343616
9,amaretto,9.150003549975608
10,amaro,0.3880733053187732
11,ambon,0.5054431405133514
12,angostura,5.168090626581872
13,anis,1.7215452176760375
14,anisette,0.8671125833881193
15,aperol,0.8229210024810216
16,apfelkorn,0.4776361313970015
17,apple,4.864841086389442
18,applejack,1.4466995229301516
19,apricot,3.167116748790682
20,asafoetida,0.6596536199313094
21,bacardi,1.746598489332599
22,baileys,6.211227435492789
23,banana,2.14619012935085
24,banane,1.6388405705753089
25,beam,0.4469759673217377
26,beer,5.455411718829323
27,benedictine,3.218843792214364
28,bitter,0.6291202023047473
29,bitters,13.110837523449367
30,black,1.1167661917326446
31,blackberries,1.0320891879297986
32,blackberry,1.580478208021519
33,blackcurrant,0.529913062163458
34,blackstrap,0.4636201719873094
35,blanc,1.1489231789519505
36,blended,2.979727777395413
37,blood,0.3880733053187732
38,blue,2.1711460067752593
39,bourbon,5.22795465703738
40,brandy,11.93066522846774
41,brine,0.45806639134726146
42,brown,1.0499636959182848
43,butter,0.4811680730030666
44,butterscotch,0.4549079768989817
45,cacao,2.450288131037997
46,cachaca,2.007902113324511
47,campari,3.646739732363226
48,caramel,0.5467380522138098
49,carbonated,5.484146291407448
50,cardamom,1.5595027079001005
51,cassis,2.496685877078338
52,cayenne,0.6287396717649402
53,celery,0.591330070293887
54,chambord,2.563044620758319
55,champagne,4.1487460489717165
56,chartreuse,2.7491811161703987
57,cherries,0.4883594888433069
58,cherry,11.825826191545874
59,chili,0.46314139116962455
60,chocolate,4.56334445354259
61,cider,0.529913062163458
62,cinnamon,2.568045870131457
63,citron,0.9879140362390271
64,cloves,2.5625404155097447
65,club,3.2883410911408193
66,cocacola,5.2335442127243335
67,cocoa,1.4459268607491018
68,coconut,2.5649635446297383
69,coffee,11.555617839541432
70,cognac,2.072091103339797
71,cointreau,2.7305786643214414
72,cola,0.9543209188421866
73,colada,0.39498353675304443
74,coloring,0.5467380522138098
75,comfort,1.3359498466823605
76,condensed,1.3601739461555364
77,cookie,0.4460154412278881
78,cordial,2.2379488544008805
79,coriander,0.5179955800345517
80,corn,0.5599700142156712
81,corona,1.1927756849649702
82,cranberry,5.669372861879662
83,cream,14.887634711220619
84,creme,7.2363768947898945
85,crown,1.543861931907228
86,cucumber,0.6271509966897686
87,cumin,0.5153616734290483
88,curacao,2.5389005753853358
89,daiquiri,0.39498353675304443
90,damn,1.274030870321262
91,daniels,1.9167204577011712
92,dark,6.438777666097681
93,de,7.2363768947898945
94,demerara,0.680823748253237
95,dew,0.4832375056416743
96,dr,0.538017276108921
97,drambuie,1.293263885104064
98,drink,0.3681548867409145
99,dry,7.664704374139795
100,dubonnet,0.587139385958612
101,egg,9.287026578980482
102,elderflower,1.8618347117698923
103,espresso,1.6720965602343547
104,everclear,1.7726510186821973
105,extract,4.045302548747658
106,falernum,0.4636201719873094
107,figs,0.4781984536390862
108,firewater,0.4791785245049589
109,flakes,0.46314139116962455
110,flavoring,0.48285613232343616
111,frangelico,1.6543648642062967
112,fresca,0.5372170922284922
113,fresh,0.9568315118549868
114,fruit,4.657795289625021
115,galliano,3.2738986008653024
116,germain,0.4001113553567146
117,gin,25.3918266905675
118,ginger,8.955422694356988
119,godiva,0.7775030729460813
120,gold,0.42881658367153624
121,goldschlager,1.6453146776280767
122,grain,0.6533623747706031
123,grand,2.6408233064478637
124,grape,1.6439530061940846
125,grapefruit,5.416140317992554
126,green,3.0535912501311655
127,grenadine,12.172916123014689
128,guinness,0.5635845123343095
129,halfandhalf,1.3636533529492643
130,heavy,1.6599850519264352
131,heering,1.105051693235652
132,honey,2.9197839779404626
133,hot,1.8561099892654787
134,ice,13.10699917235521
135,icecream,1.063109513559823
136,iced,0.6863537165622556
137,irish,8.559301812023207
138,islay,0.35382379982691403
139,jack,2.230789239318667
140,jagermeister,0.4549079768989817
141,jello,0.8471118471851867
142,jgermeister,1.824785729220259
143,jim,0.4469759673217377
144,juice,40.094652360998154
145,kahlua,7.991304748206184
146,kiwi,2.135961019134114
147,koolaid,2.392153007801621
148,kurant,0.6293094284588484
149,lager,1.263597077099635
150,lavender,0.4001113553567146
151,lemon,28.94787387930823
152,lemonade,3.563940756352855
153,lemonlime,2.8006624984569672
154,light,14.915370407959314
155,lillet,1.708000367485258
156,lime,20.542384754587555
157,limeade,0.595706064890671
158,limon,1.746598489332599
159,liqueur,12.695370024851709
160,malibu,1.5993900128484086
161,malt,0.35382379982691403
162,mango,1.4918541481616479
163,maple,0.7062595295476871
164,maraschino,10.199148459358975
165,maria,0.6154086144762708
166,marnier,2.6408233064478637
167,marshmallows,0.4811680730030666
168,melon,2.617500567577486
169,menthe,2.2934747930768435
170,mezcal,0.57071738545581
171,midori,2.1739950378224617
172,milk,10.385961258131632
173,mint,6.108745814779801
174,mix,2.390216995627085
175,montenegro,0.3880733053187732
176,mountain,0.4832375056416743
177,mure,0.6074849410457105
178,nectar,1.1210650832134472
179,nutmeg,4.3349001190002125
180,olive,3.2993002616649787
181,orange,22.966284489518696
182,oreo,0.4460154412278881
183,orgeat,1.624591681006908
184,ouzo,0.9148752198623379
185,papaya,0.746597620190793
186,passion,2.3599655901235956
187,passoa,0.9768235564637184
188,peach,5.163564483077507
189,peachtree,0.6438075148858527
190,peel,12.326662151861422
191,peppar,0.4791785245049589
192,pepper,2.406484232345357
193,pepsi,0.9543209188421866
194,pernod,0.42881658367153624
195,peychaud,0.5359691450419067
196,pina,0.39498353675304443
197,pineapple,10.172298700462838
198,pink,0.6201104254861306
199,pisang,0.5054431405133514
200,pisco,0.9924139569674241
201,pomegranate,0.5383524319147311
202,port,3.0411199381281353
203,powder,1.4459268607491018
204,powdered,10.416150904273687
205,proof,4.987333250149426
206,prosecco,2.619355236046883
207,punch,1.0506989990492162
208,raspberry,4.54380622189085
209,red,4.139682683075806
210,ricard,1.1363561564814022
211,root,1.5864442966578949
212,rose,0.684824915337839
213,rosemary,1.729899272805635
214,roses,0.5284045173503803
215,rosso,0.4606031876302693
216,rouge,0.587139385958612
217,royal,1.543861931907228
218,ruby,0.3880733053187732
219,rum,23.857210193640434
220,russchian,1.118033527257496
221,rye,1.005506726376392
222,salt,4.989178047973106
223,sambuca,4.606744513181927
224,sarsaparilla,0.8011182448465721
225,sauce,1.8193886026933432
226,schnapps,4.322442340960468
227,schweppes,1.118033527257496
228,scotch,7.052739228489505
229,sec,9.78329892704832
230,seed,0.5153616734290483
231,sherbet,0.736309773481829
232,sherry,2.426521857259976
233,single,0.35382379982691403
234,sirup,0.5284045173503803
235,sloe,1.7613873765917516
236,soda,11.83770220912502
237,soft,0.3681548867409145
238,sour,4.3002162410690925
239,southern,1.3359498466823605
240,soy,0.29080943352258054
241,spiced,1.770139957176598
242,spiral,1.5081943827373565
243,sprite,1.824641666623347
244,st,0.4001113553567146
245,stout,0.5635845123343095
246,strawberries,1.9033598851589302
247,strawberry,0.5317795851229291
248,sugar,25.124204908443105
249,surge,1.055234286648906
250,sweet,9.516062925934905
251,syrup,12.099626969260703
252,tabasco,1.0948512937660009
253,tea,2.4861594948226484
254,tennessee,0.5549488474658913
255,tequila,7.852890581722874
256,thyme,0.4781984536390862
257,tia,0.6154086144762708
258,tomato,1.261421082644227
259,tonic,4.228169882076382
260,triple,9.78329892704832
261,turkey,1.5599269465111019
262,vanilla,5.63668941234394
263,vermouth,14.645661016765308
264,vodka,21.956510867293794
265,water,20.45657713217862
266,whipped,2.446129389154742
267,whipping,0.8214192792583939
268,whiskey,6.719173857450094
269,whisky,0.641864596987421
270,white,9.002809618208952
271,wild,1.5599269465111019
272,wine,5.731354177144086
273,worcestershire,0.29080943352258054
274,wormwood,0.6067634930034681
275,yellow,0.4705107393340267
276,yoghurt,4.4498169554308955
277,yolk,1.4718824269418138
278,yukon,0.45714150197629394
279,zima,1.2017211616674812
